Query	Document	Answer
Were Scott Derrickson and Ed Wood of the same nationality?	Scott Derrickson	Yes, both American.
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?	Kiss and Tell (1945 film)	Ambassador to Ghana.
What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?	Animorphs | The Hork-Bajir Chronicles	Animorphs series
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?	Esma Sultan Mansion	Different neighborhoods.
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?"	Big Stone Gap (film)	Greenwich Village, New York City
2014 S/S is the debut album of a South Korean boy group that was formed by who?	Winner (band)	YG Entertainment
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?	Eenasul Fateh	Eenasul Fateh
The arena where the Lewiston Maineiacs played their home games can seat how many people?	Androscoggin Bank Colisée	3,677 seated.
Who is older, Annie Morton or Terry Richardson?	Annie Morton	Terry Richardson.
Are Local H and For Against both from the United States?	Local H	Yes, both are.
What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?	Kansas Song | University of Kansas	Kansas Song
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?"	The Family Man	David Weissman
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?	Oh My God (Guns N' Roses song)	1999
Are Random House Tower and 888 7th Avenue both used for real estate?	Random House Tower	Yes, both used.
The football manager who recruited David Beckham managed Manchester United during what timeframe?	1995–96 Manchester United F.C. season	1995–96 season
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?	Brown State Fishing Lake	9,984 inhabitants
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?	Vermont Catamounts men's soccer	I don't know.
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?	Ambroise Thomas	Yes, both composers.
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?	Roger O. Egeberg	1969 to 1974
Which writer was from England, Henry Roth or Robert Erskine Childers?	Robert Erskine Childers	Robert Erskine Childers.
