dataset_name,controller,model,retriever_k,repair_loop,n_total,n_valid,n_errors,accuracy,avg_precision,avg_recall,avg_f1,timestamp,eval_model
hotpot_dev_distractor_v1,adaptive_rag,openai:gpt-4o-mini,3,1,100,100,0,0.72,0.3093,0.825,0.441,20260330_224029,gpt-4o
hotpotqa_noise_rho_0.50,adaptive_rag,openai:gpt-4o-mini,3,1,100,100,0,0.72,0.3093,0.825,0.441,20260330_225340,gpt-4o
hotpotqa_redundancy_rho_0.50,adaptive_rag,openai:gpt-4o-mini,3,1,100,100,0,0.71,0.3093,0.825,0.441,20260330_230226,gpt-4o
hotpotqa_position_shuffle_all,adaptive_rag,openai:gpt-4o-mini,3,1,100,100,0,0.71,0.3093,0.825,0.441,20260330_231105,gpt-4o
hotpotqa_position_support_middle,adaptive_rag,openai:gpt-4o-mini,3,1,100,100,0,0.7,0.3093,0.825,0.441,20260330_231800,gpt-4o
hotpot_dev_distractor_v1,basic_rag,openai:gpt-4o-mini,3,1,100,100,0,0.59,0.655,0.65,0.6517,20260330_163709,gpt-4o
hotpotqa_noise_rho_0.50,basic_rag,openai:gpt-4o-mini,3,1,100,100,0,0.58,0.655,0.65,0.6517,20260330_165311,gpt-4o
hotpotqa_redundancy_rho_0.50,basic_rag,openai:gpt-4o-mini,3,1,100,100,0,0.6,0.655,0.65,0.6517,20260330_170622,gpt-4o
hotpotqa_position_shuffle_all,basic_rag,openai:gpt-4o-mini,3,1,100,100,0,0.56,0.655,0.65,0.6517,20260330_192335,gpt-4o
hotpotqa_position_support_middle,basic_rag,openai:gpt-4o-mini,3,1,100,100,0,0.57,0.655,0.65,0.6517,20260330_195822,gpt-4o
hotpot_dev_distractor_v1,seal_rag,openai:gpt-4o-mini,3,1,100,100,0,0.58,0.895,0.465,0.6083,20260327_231245,
hotpotqa_noise_rho_0.50,seal_rag,openai:gpt-4o-mini,3,1,100,100,0,0.58,0.92,0.48,0.6267,20260329_170749,
hotpotqa_redundancy_rho_0.50,seal_rag,openai:gpt-4o-mini,3,1,100,100,0,0.61,0.89,0.455,0.6,20260329_170923,
hotpotqa_position_support_middle,seal_rag,openai:gpt-4o-mini,3,1,100,100,0,0.57,0.91,0.47,0.6167,20260329_171005,
hotpotqa_position_shuffle_all,seal_rag,openai:gpt-4o-mini,3,1,100,100,0,0.59,0.91,0.465,0.6133,20260329_213730,
hotpot_dev_distractor_v1,self_rag,openai:gpt-4o-mini,3,1,100,100,0,0.56,0.605,0.395,0.465,20260330_202138,gpt-4o
hotpotqa_noise_rho_0.50,self_rag,openai:gpt-4o-mini,3,1,100,100,0,0.57,0.61,0.4,0.47,20260330_204407,gpt-4o
hotpotqa_redundancy_rho_0.50,self_rag,openai:gpt-4o-mini,3,1,100,100,0,0.57,0.6,0.385,0.4567,20260330_210422,gpt-4o
hotpotqa_position_shuffle_all,self_rag,openai:gpt-4o-mini,3,1,100,100,0,0.56,0.59,0.39,0.4567,20260330_212452,gpt-4o
hotpotqa_position_support_middle,self_rag,openai:gpt-4o-mini,3,1,100,100,0,0.57,0.575,0.38,0.445,20260330_214558,gpt-4o
